Date;Adj Close
24/02/2021;264.309998
25/02/2021;254.690002
26/02/2021;257.619995
01/03/2021;264.910004
02/03/2021;259.000000
03/03/2021;255.410004
04/03/2021;257.640015
05/03/2021;264.279999
08/03/2021;255.309998
09/03/2021;265.739990
10/03/2021;264.899994
11/03/2021;273.880005
12/03/2021;268.399994
15/03/2021;273.750000
16/03/2021;279.279999
17/03/2021;284.010010
18/03/2021;278.619995
19/03/2021;290.109985
22/03/2021;293.540009
23/03/2021;290.630005
24/03/2021;282.140015
25/03/2021;278.739990
26/03/2021;283.019989
29/03/2021;290.820007
30/03/2021;288.000000
31/03/2021;294.529999
01/04/2021;298.660004
05/04/2021;308.910004
06/04/2021;306.260010
07/04/2021;313.089996
08/04/2021;313.019989
09/04/2021;312.459991
12/04/2021;311.540009
13/04/2021;309.760010
14/04/2021;302.820007
15/04/2021;307.820007
16/04/2021;306.179993
19/04/2021;302.239990
20/04/2021;302.649994
21/04/2021;301.470001
22/04/2021;296.519989
23/04/2021;301.130005
26/04/2021;303.040009
27/04/2021;303.570007
28/04/2021;307.100006
29/04/2021;329.510010
30/04/2021;325.079987
03/05/2021;322.579987
